Tue 02 Jul 2024, 03:53PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=681 y=259 dx=-0.08859009238489668 dy=-0.04638745014802465 clicks=0 score=0,  RED: x=681,  y=259,  dx=-0.08859009238489668,  dy=-0.04638745014802465,  clicks=0,  score=0,ORANGE x=1334 y=145 dx=0.061307495659009115 dy=0.07900247449302192 clicks=0 score=0,  ORANGE: x=1334,  y=145,  dx=0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0,YELLOW x=343 y=621 dx=0.08662183323260902 dy=-0.04996656889783479 clicks=0 score=0,  YELLOW: x=343,  y=621,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=0,  score=0,
1.1430000000000007, 34, Clicked: YELLOW, x=671,  y=694,  RED: x=1138,  y=532,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=294,  y=558,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=672,  y=678,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=4,  score=3,
1.2590000000000003, 34, Clicked: YELLOW, x=645,  y=711,  RED: x=1138,  y=518,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=308,  y=556,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=662,  y=687,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=5,  score=4,
1.4049999999999994, 35, Clicked: YELLOW, x=645,  y=712,  RED: x=1139,  y=500,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=325,  y=553,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=648,  y=698,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=6,  score=5,
1.5510000000000002, 36, Clicked: YELLOW, x=643,  y=715,  RED: x=1139,  y=482,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=343,  y=550,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=634,  y=710,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=7,  score=6,
1.7680000000000007, 37, Clicked: YELLOW, x=643,  y=715,  RED: x=1140,  y=456,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=369,  y=546,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=614,  y=726,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=8,  score=7,
2.6180000000000003, 38, Clicked: ORANGE, x=509,  y=524,  RED: x=1142,  y=354,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, DARK_ORANGE: x=470,  y=530,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=1,  score=1, YELLOW: x=535,  y=689,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=8,  score=7,
3.567, 39, Clicked: ORANGE, x=590,  y=515,  RED: x=1144,  y=240,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, DARK_ORANGE: x=582,  y=512,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=2,  score=2, YELLOW: x=447,  y=616,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=8,  score=7,
3.901, 40, Clicked: ORANGE, x=590,  y=514,  RED: x=1145,  y=200,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, DARK_ORANGE: x=622,  y=506,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=3,  score=3, YELLOW: x=416,  y=591,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=8,  score=7,
4.0489999999999995, 41, Clicked: ORANGE, x=590,  y=514,  RED: x=1146,  y=182,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, DARK_ORANGE: x=639,  y=503,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, YELLOW: x=402,  y=580,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=8,  score=7,
4.529, 42, Clicked: YELLOW, x=329,  y=531,  RED: x=1147,  y=193,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=0,  score=0, ORANGE: x=697,  y=494,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, DARK_YELLOW: x=357,  y=543,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=9,  score=8,
