Fri 02 Feb 2024, 09:17PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=841 y=626 dx=0.09919994584787178 dy=0.012624212600368629 clicks=0 score=0, RED x=665 y=323 dx=-0.033611487525881625 dy=-0.09418209971272411 clicks=0 score=0, GREEN x=544 y=363 dx=0.031525487372278733 dy=-0.09490070413827442 clicks=0 score=0, 
4.661, 4, Clicked: BLUE, x=1102,  y=590,  DARK_BLUE: x=1117,  y=585,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=13,  score=2, RED: x=726,  y=311,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=477,  y=165,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
4.7940000000000005, 4, Clicked: BLUE, x=1103,  y=590,  DARK_BLUE: x=1125,  y=584,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=14,  score=2, RED: x=728,  y=320,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=475,  y=171,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
4.928000000000001, 4, Clicked: BLUE, x=1119,  y=584,  DARK_BLUE: x=1133,  y=583,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=15,  score=2, RED: x=730,  y=329,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=473,  y=177,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.063000000000001, 4, Clicked: BLUE, x=1127,  y=584,  DARK_BLUE: x=1141,  y=582,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=16,  score=2, RED: x=732,  y=338,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=471,  y=183,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.163, 4, Clicked: BLUE, x=1156,  y=568,  DARK_BLUE: x=1147,  y=581,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=17,  score=2, RED: x=733,  y=345,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=469,  y=188,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.2989999999999995, 4, Clicked: BLUE, x=1157,  y=568,  DARK_BLUE: x=1155,  y=580,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=18,  score=2, RED: x=735,  y=354,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=467,  y=194,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.432, 4, Clicked: BLUE, x=1158,  y=567,  DARK_BLUE: x=1163,  y=579,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=19,  score=3, RED: x=737,  y=364,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=465,  y=200,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.532, 5, Clicked: BLUE, x=1158,  y=567,  DARK_BLUE: x=1169,  y=578,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=20,  score=3, RED: x=739,  y=370,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=463,  y=204,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.666, 5, Clicked: BLUE, x=1159,  y=567,  DARK_BLUE: x=1177,  y=577,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=21,  score=3, RED: x=741,  y=380,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=461,  y=210,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.767000000000001, 5, Clicked: BLUE, x=1161,  y=567,  DARK_BLUE: x=1183,  y=576,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=22,  score=3, RED: x=742,  y=386,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=460,  y=215,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
5.902000000000001, 5, Clicked: BLUE, x=1163,  y=568,  DARK_BLUE: x=1191,  y=575,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=23,  score=3, RED: x=744,  y=396,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=457,  y=221,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
################# INIT balls ######################
7.111000000000001, Init stimuli, 5, BLUE x=1201 y=149 dx=0.05486411585746031 dy=-0.08360579400483661 clicks=0 score=0, RED x=1194 y=592 dx=0.009626181213367582 dy=0.09953560486201612 clicks=0 score=0, GREEN x=860 y=137 dx=-0.015074126367807882 dy=-0.09885732504092633 clicks=0 score=0, 
7.111000000000001, 5, Clicked: Shuffle, x=1547, y=44,  BLUE: x=1201,  y=149,  dx=0.05486411585746031,  dy=-0.08360579400483661,  clicks=0,  score=0, RED: x=1194,  y=592,  dx=0.009626181213367582,  dy=0.09953560486201612,  clicks=0,  score=0, GREEN: x=860,  y=137,  dx=-0.015074126367807882,  dy=-0.09885732504092633,  clicks=0,  score=0,
