Tue 22 Oct 2024, 11:46PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.949, 22, Clicked: None, x=1179, y=588, Clicked: None, x=1179, y=588, Clicked: (255, 0, 0), x=1179,  y=588,  (255, 0, 0): x=1270,  y=732,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (255, 0, 0): x=1012,  y=486,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (204, 0, 0): x=1173,  y=597,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=12,  score=12,
11.065, 23, Clicked: None, x=1180, y=588, Clicked: None, x=1180, y=588, Clicked: (255, 0, 0), x=1180,  y=588,  (255, 0, 0): x=1261,  y=731,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (255, 0, 0): x=1003,  y=501,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (204, 0, 0): x=1187,  y=598,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
11.594, 24, Clicked: None, x=919, y=578, Clicked: (255, 0, 0), x=919,  y=578, Clicked: None, x=919, y=578,  (255, 0, 0): x=1219,  y=727,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (204, 0, 0): x=960,  y=569,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=5,  score=5, (255, 0, 0): x=1250,  y=607,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
11.741, 25, Clicked: None, x=919, y=578, Clicked: (255, 0, 0), x=919,  y=578, Clicked: None, x=919, y=578,  (255, 0, 0): x=1208,  y=726,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (204, 0, 0): x=948,  y=588,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=6,  score=6, (255, 0, 0): x=1268,  y=609,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
11.888, 26, Clicked: None, x=919, y=578, Clicked: (255, 0, 0), x=919,  y=578, Clicked: None, x=919, y=578,  (255, 0, 0): x=1196,  y=724,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (204, 0, 0): x=936,  y=607,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1286,  y=611,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
12.434, 27, Clicked: (255, 0, 0), x=1181,  y=731, Clicked: None, x=1181, y=731, Clicked: None, x=1181, y=731,  (204, 0, 0): x=1153,  y=720,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=8,  score=8, (255, 0, 0): x=893,  y=678,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1351,  y=620,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
12.566, 28, Clicked: (255, 0, 0), x=1181,  y=731, Clicked: None, x=1181, y=731, Clicked: None, x=1181, y=731,  (204, 0, 0): x=1143,  y=719,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=9,  score=9, (255, 0, 0): x=882,  y=695,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1367,  y=622,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
13.065, 29, Clicked: (255, 0, 0), x=1084,  y=695, Clicked: None, x=1084, y=695, Clicked: None, x=1084, y=695,  (204, 0, 0): x=1104,  y=716,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=10,  score=10, (255, 0, 0): x=842,  y=759,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1427,  y=629,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
13.249, 30, Clicked: (255, 0, 0), x=1083,  y=694, Clicked: None, x=1083, y=694, Clicked: None, x=1083, y=694,  (204, 0, 0): x=1090,  y=714,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=11,  score=11, (255, 0, 0): x=828,  y=782,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1449,  y=632,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
13.431, 31, Clicked: (255, 0, 0), x=1074,  y=692, Clicked: None, x=1074, y=692, Clicked: None, x=1074, y=692,  (204, 0, 0): x=1075,  y=713,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=12,  score=12, (255, 0, 0): x=813,  y=806,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1470,  y=635,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
