Tue 20 Aug 2024, 04:29PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
44.09699999999998, 27, Clicked: RED, x=434,  y=229,  DARK_RED: x=421,  y=196,  dx=0.14702372345815629,  dy=0.026462320831971517,  clicks=1,  score=1, ORANGE: x=612,  y=381,  dx=0.05381364411102887,  dy=-0.05860843933875946,  clicks=13,  score=12, YELLOW: x=934,  y=388,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
103.74900000000002, 28, Clicked: ORANGE, x=784,  y=346,  RED: x=630,  y=185,  dx=0.06009178248072608,  dy=-0.06460170350819631,  clicks=1,  score=1, DARK_ORANGE: x=764,  y=334,  dx=0.14074558508845908,  dy=0.03245558500140837,  clicks=14,  score=13, YELLOW: x=965,  y=447,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
107.4860000000001, 29, Clicked: ORANGE, x=795,  y=348,  RED: x=631,  y=184,  dx=0.06009178248072608,  dy=-0.06460170350819631,  clicks=1,  score=1, DARK_ORANGE: x=767,  y=334,  dx=0.14074558508845908,  dy=0.03245558500140837,  clicks=15,  score=14, YELLOW: x=965,  y=448,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
107.4860000000001, 30, Clicked: None, x=846, y=358,  RED: x=631,  y=184,  dx=0.06009178248072608,  dy=-0.06460170350819631,  clicks=1,  score=1, ORANGE: x=767,  y=334,  dx=0.14074558508845908,  dy=0.03245558500140837,  clicks=15,  score=14, YELLOW: x=965,  y=448,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
126.44000000000005, 30, Clicked: RED, x=1077,  y=646,  DARK_RED: x=1067,  y=651,  dx=-0.11913742475647186,  dy=-0.06785336114115686,  clicks=2,  score=2, ORANGE: x=245,  y=566,  dx=0.04941431027108542,  dy=-0.07469355812702089,  clicks=15,  score=14, YELLOW: x=545,  y=500,  dx=-0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
143.74500000000012, 31, Clicked: RED, x=1077,  y=646,  DARK_RED: x=1065,  y=650,  dx=-0.11913742475647186,  dy=-0.06785336114115686,  clicks=3,  score=3, ORANGE: x=246,  y=565,  dx=0.04941431027108542,  dy=-0.07469355812702089,  clicks=15,  score=14, YELLOW: x=544,  y=500,  dx=-0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
143.74500000000012, 32, Clicked: RED, x=1077,  y=646,  DARK_RED: x=1065,  y=650,  dx=-0.11913742475647186,  dy=-0.06785336114115686,  clicks=4,  score=3, ORANGE: x=246,  y=565,  dx=0.04941431027108542,  dy=-0.07469355812702089,  clicks=15,  score=14, YELLOW: x=544,  y=500,  dx=-0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
149.72500000000014, 32, Clicked: RED, x=227,  y=235,  DARK_RED: x=222,  y=225,  dx=-0.11419821227938523,  dy=-0.04264106388224408,  clicks=5,  score=4, ORANGE: x=589,  y=351,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=163,  y=615,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
149.856, 33, Clicked: RED, x=227,  y=235,  DARK_RED: x=204,  y=218,  dx=-0.11419821227938523,  dy=-0.04264106388224408,  clicks=6,  score=5, ORANGE: x=596,  y=367,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=171,  y=618,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
150.4290000000001, 34, Clicked: RED, x=178,  y=201,  DARK_RED: x=194,  y=188,  dx=0.11419821227938523,  dy=-0.04264106388224408,  clicks=7,  score=6, ORANGE: x=627,  y=437,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=209,  y=629,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
150.7270000000001, 35, Clicked: RED, x=258,  y=173,  DARK_RED: x=235,  y=173,  dx=0.11419821227938523,  dy=-0.04264106388224408,  clicks=8,  score=7, ORANGE: x=643,  y=473,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=229,  y=635,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
151.06799999999998, 36, Clicked: RED, x=281,  y=161,  DARK_RED: x=283,  y=164,  dx=0.11419821227938523,  dy=0.04264106388224408,  clicks=9,  score=8, ORANGE: x=662,  y=515,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=251,  y=642,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
151.231, 37, Clicked: RED, x=303,  y=154,  DARK_RED: x=306,  y=172,  dx=0.11419821227938523,  dy=0.04264106388224408,  clicks=10,  score=9, ORANGE: x=671,  y=535,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=262,  y=645,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
151.49399999999991, 38, Clicked: RED, x=353,  y=185,  DARK_RED: x=342,  y=186,  dx=0.11419821227938523,  dy=0.04264106388224408,  clicks=11,  score=10, ORANGE: x=685,  y=567,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=280,  y=650,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
151.67000000000007, 39, Clicked: RED, x=380,  y=193,  DARK_RED: x=367,  y=195,  dx=0.11419821227938523,  dy=0.04264106388224408,  clicks=12,  score=11, ORANGE: x=695,  y=589,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=291,  y=653,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
151.80099999999993, 40, Clicked: RED, x=384,  y=199,  DARK_RED: x=386,  y=202,  dx=0.11419821227938523,  dy=0.04264106388224408,  clicks=13,  score=12, ORANGE: x=702,  y=605,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=300,  y=656,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
151.90100000000007, 41, Clicked: RED, x=391,  y=204,  DARK_RED: x=399,  y=207,  dx=0.11419821227938523,  dy=0.04264106388224408,  clicks=14,  score=13, ORANGE: x=707,  y=617,  dx=0.04447509779399878,  dy=0.09990585538593366,  clicks=15,  score=14, YELLOW: x=307,  y=658,  dx=0.05407036957915863,  dy=0.016052689885971902,  clicks=0,  score=0,
