Mon 29 Jan 2024, 10:54PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=586 y=673 dx=-0.037458718076026264 dy=0.09271916975523876 clicks=0 score=0, RED x=78 y=236 dx=0.022133948827668098 dy=0.0975196816509066 clicks=0 score=0, GREEN x=1246 y=438 dx=0.07872253998996817 dy=-0.06166653628612412 clicks=0 score=0, 
5.37, 5, Clicked: RED, x=240,  y=563,  BLUE: x=466,  y=325,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=230,  y=548,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=8,  score=2, GREEN: x=1422,  y=241,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
5.574000000000001, 5, Clicked: RED, x=240,  y=563,  BLUE: x=462,  y=314,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=233,  y=559,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=9,  score=2, GREEN: x=1412,  y=234,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
5.71, 5, Clicked: RED, x=251,  y=583,  BLUE: x=459,  y=306,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=234,  y=567,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=10,  score=2, GREEN: x=1406,  y=229,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
5.88, 5, Clicked: RED, x=252,  y=597,  BLUE: x=455,  y=297,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=237,  y=577,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=11,  score=2, GREEN: x=1398,  y=223,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
6.0840000000000005, 5, Clicked: RED, x=252,  y=598,  BLUE: x=451,  y=286,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=239,  y=589,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=12,  score=2, GREEN: x=1389,  y=215,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
6.249999999999999, 5, Clicked: RED, x=251,  y=644,  BLUE: x=447,  y=276,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=241,  y=598,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=13,  score=3, GREEN: x=1381,  y=209,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
6.514, 6, Clicked: RED, x=252,  y=643,  BLUE: x=441,  y=262,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=245,  y=614,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=14,  score=3, GREEN: x=1368,  y=199,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
6.681, 6, Clicked: RED, x=252,  y=642,  BLUE: x=437,  y=252,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=247,  y=616,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=15,  score=3, GREEN: x=1360,  y=193,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
6.813999999999999, 6, Clicked: RED, x=252,  y=642,  BLUE: x=434,  y=245,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=249,  y=608,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=16,  score=3, GREEN: x=1354,  y=188,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
7.015, 6, Clicked: RED, x=255,  y=629,  BLUE: x=430,  y=234,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=252,  y=596,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=17,  score=3, GREEN: x=1345,  y=181,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
7.114999999999999, 6, Clicked: RED, x=261,  y=609,  BLUE: x=427,  y=228,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=253,  y=590,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=18,  score=3, GREEN: x=1340,  y=177,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
7.283, 6, Clicked: RED, x=262,  y=607,  BLUE: x=424,  y=219,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=255,  y=580,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=19,  score=4, GREEN: x=1332,  y=171,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
