Mon 15 Jan 2024, 11:10PM
################# Phase 1 ######################
################# INIT particles ######################
2.962, Init stimuli, 0, RED x=1592 y=534 dx=0.1117348724218911 dy=0.11795919687719791 clicks=0 score=0, ORANGE x=654 y=401 dx=0.11232195040067088 dy=0.11695501244298843 clicks=0 score=0, YELLOW x=311 y=313 dx=0.1133468334354059 dy=0.11272374694983729 clicks=0 score=0,  RED: x=1592,  y=534,  dx=0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=654,  y=401,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=0,  score=0, YELLOW: x=311,  y=313,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
5.9079999999999995, 0, Clicked: ORANGE, x=1186,  y=928,  RED: x=1319,  y=822,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1162,  y=895,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=1,  score=1, YELLOW: x=289,  y=816,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.121, 1, Clicked: ORANGE, x=1177,  y=883,  RED: x=1349,  y=853,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1190,  y=865,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=2,  score=2, YELLOW: x=318,  y=843,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.350999999999999, 2, Clicked: ORANGE, x=1191,  y=847,  RED: x=1381,  y=887,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1221,  y=834,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=3,  score=3, YELLOW: x=350,  y=872,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.531000000000001, 3, Clicked: ORANGE, x=1236,  y=810,  RED: x=1406,  y=913,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1246,  y=809,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=4,  score=4, YELLOW: x=374,  y=894,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.645, 4, Clicked: ORANGE, x=1259,  y=773,  RED: x=1422,  y=910,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1261,  y=793,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=5,  score=5, YELLOW: x=390,  y=909,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.728, 5, Clicked: ORANGE, x=1278,  y=749,  RED: x=1433,  y=898,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1272,  y=782,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=6,  score=5, YELLOW: x=401,  y=919,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.892999999999999, 5, Clicked: ORANGE, x=1293,  y=732,  RED: x=1456,  y=874,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1294,  y=760,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=7,  score=6, YELLOW: x=423,  y=901,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
7.090999999999999, 6, Clicked: ORANGE, x=1330,  y=699,  RED: x=1483,  y=845,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1321,  y=733,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=8,  score=7, YELLOW: x=450,  y=876,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
7.712999999999999, 7, Clicked: ORANGE, x=1456,  y=617,  RED: x=1570,  y=754,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1405,  y=647,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=9,  score=8, YELLOW: x=535,  y=798,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
7.892999999999999, 8, Clicked: ORANGE, x=1463,  y=604,  RED: x=1595,  y=728,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1429,  y=622,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=10,  score=9, YELLOW: x=560,  y=775,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
