Wed 28 Aug 2024, 09:59PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
10.264, 13, Clicked: RED, x=653,  y=217,  DARK_RED: x=632,  y=215,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=13,  score=0, ORANGE: x=1652,  y=269,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=824,  y=493,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
10.508, 13, Clicked: RED, x=645,  y=243,  DARK_RED: x=615,  y=237,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=14,  score=0, ORANGE: x=1632,  y=244,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=798,  y=509,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
10.753, 13, Clicked: RED, x=636,  y=268,  DARK_RED: x=599,  y=259,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=15,  score=1, ORANGE: x=1612,  y=219,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=773,  y=526,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
10.887, 14, Clicked: RED, x=636,  y=277,  DARK_RED: x=590,  y=271,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=16,  score=2, ORANGE: x=1602,  y=205,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=760,  y=534,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
11.001, 15, Clicked: RED, x=635,  y=285,  DARK_RED: x=582,  y=281,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=17,  score=3, ORANGE: x=1592,  y=193,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=748,  y=542,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
11.255, 16, Clicked: RED, x=603,  y=322,  DARK_RED: x=566,  y=303,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=18,  score=4, ORANGE: x=1572,  y=168,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=723,  y=558,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
11.385, 17, Clicked: RED, x=592,  y=329,  DARK_RED: x=557,  y=315,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=19,  score=5, ORANGE: x=1562,  y=165,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=709,  y=567,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
11.55, 18, Clicked: RED, x=575,  y=343,  DARK_RED: x=546,  y=330,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=20,  score=6, ORANGE: x=1549,  y=182,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=692,  y=577,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
11.716, 19, Clicked: RED, x=570,  y=348,  DARK_RED: x=535,  y=344,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=21,  score=7, ORANGE: x=1535,  y=199,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=675,  y=588,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
11.862, 20, Clicked: RED, x=568,  y=351,  DARK_RED: x=525,  y=358,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=22,  score=8, ORANGE: x=1523,  y=214,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=660,  y=598,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
