Mon 29 Jan 2024, 10:52PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=273 y=387 dx=-0.015977644047738056 dy=-0.0987153224716598 clicks=0 score=0, RED x=898 y=378 dx=0.09930471421805133 dy=-0.011771734539614562 clicks=0 score=0, GREEN x=1216 y=222 dx=0.05969634481172388 dy=-0.080226843488447 clicks=0 score=0, 
9.282, 7, Clicked: BLUE, x=181,  y=509,  DARK_BLUE: x=184,  y=477,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=9,  score=3, RED: x=1448,  y=313,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, GREEN: x=1374,  y=540,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
9.415, 8, Clicked: BLUE, x=181,  y=509,  DARK_BLUE: x=183,  y=485,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=10,  score=3, RED: x=1456,  y=312,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, GREEN: x=1369,  y=546,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
9.581999999999999, 8, Clicked: BLUE, x=181,  y=509,  DARK_BLUE: x=182,  y=495,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=11,  score=3, RED: x=1454,  y=311,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, GREEN: x=1363,  y=554,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
9.716999999999999, 8, Clicked: BLUE, x=181,  y=509,  DARK_BLUE: x=180,  y=503,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, RED: x=1446,  y=310,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, GREEN: x=1358,  y=561,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
10.383999999999999, 8, Clicked: GREEN, x=1307,  y=574,  BLUE: x=174,  y=543,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, RED: x=1406,  y=305,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, DARK_GREEN: x=1334,  y=593,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=8,  score=3,
10.517999999999999, 9, Clicked: GREEN, x=1308,  y=574,  BLUE: x=173,  y=550,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, RED: x=1398,  y=305,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, DARK_GREEN: x=1329,  y=599,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=9,  score=3,
10.687, 9, Clicked: GREEN, x=1308,  y=574,  BLUE: x=171,  y=560,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, RED: x=1388,  y=303,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, DARK_GREEN: x=1323,  y=607,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=10,  score=3,
10.822, 9, Clicked: GREEN, x=1308,  y=574,  BLUE: x=170,  y=568,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, RED: x=1380,  y=302,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, DARK_GREEN: x=1319,  y=614,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=11,  score=3,
11.221, 9, Clicked: RED, x=1350,  y=275,  BLUE: x=166,  y=592,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, DARK_RED: x=1356,  y=300,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=11,  score=4, GREEN: x=1304,  y=607,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=11,  score=3,
11.32, 10, Clicked: RED, x=1350,  y=275,  BLUE: x=165,  y=598,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, DARK_RED: x=1350,  y=299,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=12,  score=4, GREEN: x=1301,  y=602,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=11,  score=3,
