Tue 20 Aug 2024, 04:49PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
10.149000000000001, 16, Clicked: RED, x=584,  y=324,  DARK_RED: x=558,  y=306,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=10,  score=9, ORANGE: x=1202,  y=352,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=571,  y=609,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
10.313000000000002, 17, Clicked: RED, x=580,  y=316,  DARK_RED: x=556,  y=300,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=11,  score=10, ORANGE: x=1221,  y=372,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=582,  y=592,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
10.54, 18, Clicked: RED, x=559,  y=271,  DARK_RED: x=553,  y=291,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=12,  score=11, ORANGE: x=1247,  y=400,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=596,  y=568,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
10.686, 19, Clicked: RED, x=555,  y=261,  DARK_RED: x=551,  y=285,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=13,  score=12, ORANGE: x=1264,  y=418,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=606,  y=553,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
10.885000000000002, 20, Clicked: RED, x=553,  y=235,  DARK_RED: x=549,  y=277,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=14,  score=13, ORANGE: x=1274,  y=442,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=619,  y=533,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
11.033000000000001, 21, Clicked: RED, x=553,  y=234,  DARK_RED: x=547,  y=271,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=15,  score=14, ORANGE: x=1257,  y=460,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=628,  y=518,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
11.464000000000002, 22, Clicked: RED, x=547,  y=205,  DARK_RED: x=542,  y=253,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=16,  score=15, ORANGE: x=1208,  y=512,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=656,  y=473,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
11.612000000000002, 23, Clicked: RED, x=546,  y=205,  DARK_RED: x=541,  y=247,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=17,  score=16, ORANGE: x=1191,  y=530,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=665,  y=458,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
11.777000000000001, 24, Clicked: RED, x=546,  y=204,  DARK_RED: x=539,  y=241,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=18,  score=17, ORANGE: x=1173,  y=550,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=676,  y=441,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
11.891000000000002, 25, Clicked: RED, x=546,  y=204,  DARK_RED: x=537,  y=236,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=19,  score=18, ORANGE: x=1160,  y=564,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=684,  y=429,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
12.022000000000002, 26, Clicked: RED, x=546,  y=204,  DARK_RED: x=536,  y=231,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=20,  score=19, ORANGE: x=1145,  y=580,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=692,  y=416,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
12.135000000000002, 27, Clicked: RED, x=546,  y=204,  DARK_RED: x=534,  y=226,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=21,  score=20, ORANGE: x=1131,  y=594,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=699,  y=404,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
12.251000000000001, 28, Clicked: RED, x=546,  y=204,  DARK_RED: x=533,  y=222,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=22,  score=21, ORANGE: x=1118,  y=608,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=707,  y=392,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
12.712, 29, Clicked: None, x=795, y=315,  RED: x=528,  y=203,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=22,  score=21, ORANGE: x=1066,  y=664,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=737,  y=345,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
12.842000000000002, 29, Clicked: YELLOW, x=795,  y=315,  RED: x=526,  y=198,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=22,  score=21, ORANGE: x=1051,  y=680,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, DARK_YELLOW: x=745,  y=331,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=1,  score=1,
16.36, 30, Clicked: YELLOW, x=795,  y=315,  RED: x=526,  y=197,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=22,  score=21, ORANGE: x=1049,  y=682,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, DARK_YELLOW: x=746,  y=329,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=2,  score=2,
16.36, 31, Clicked: YELLOW, x=792,  y=315,  RED: x=526,  y=197,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=22,  score=21, ORANGE: x=1049,  y=682,  dx=-0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, DARK_YELLOW: x=746,  y=329,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=3,  score=2,
