Tue 20 Aug 2024, 04:27PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
7.823, 15, Clicked: RED, x=1235,  y=692,  DARK_RED: x=1229,  y=689,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=5,  score=3, ORANGE: x=932,  y=504,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=290,  y=475,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
7.974, 15, Clicked: RED, x=1231,  y=699,  DARK_RED: x=1231,  y=707,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=6,  score=3, ORANGE: x=950,  y=502,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=273,  y=472,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
8.137, 15, Clicked: RED, x=1227,  y=723,  DARK_RED: x=1234,  y=727,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=7,  score=3, ORANGE: x=971,  y=499,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=254,  y=468,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
8.3, 15, Clicked: RED, x=1222,  y=735,  DARK_RED: x=1236,  y=734,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=8,  score=4, ORANGE: x=991,  y=497,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=234,  y=465,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
8.498, 16, Clicked: RED, x=1215,  y=751,  DARK_RED: x=1239,  y=710,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=9,  score=5, ORANGE: x=1015,  y=494,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=211,  y=460,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
8.778, 17, Clicked: RED, x=1259,  y=667,  DARK_RED: x=1244,  y=676,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=10,  score=6, ORANGE: x=1050,  y=490,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=179,  y=454,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
8.956, 18, Clicked: RED, x=1261,  y=647,  DARK_RED: x=1246,  y=654,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=11,  score=7, ORANGE: x=1072,  y=487,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=160,  y=450,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
9.07, 19, Clicked: RED, x=1282,  y=610,  DARK_RED: x=1248,  y=640,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=12,  score=8, ORANGE: x=1087,  y=486,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=173,  y=448,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
9.2, 20, Clicked: RED, x=1282,  y=600,  DARK_RED: x=1250,  y=624,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=13,  score=9, ORANGE: x=1103,  y=484,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=188,  y=445,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
9.427, 21, Clicked: RED, x=1282,  y=587,  DARK_RED: x=1254,  y=597,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=14,  score=10, ORANGE: x=1131,  y=481,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=215,  y=440,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
9.574, 22, Clicked: RED, x=1282,  y=578,  DARK_RED: x=1256,  y=579,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=15,  score=11, ORANGE: x=1150,  y=478,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=232,  y=437,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
9.819, 23, Clicked: RED, x=1281,  y=555,  DARK_RED: x=1267,  y=556,  dx=0.10366726963394382,  dy=-0.01393903985942177,  clicks=16,  score=12, ORANGE: x=1173,  y=468,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=261,  y=432,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
9.951, 24, Clicked: RED, x=1281,  y=544,  DARK_RED: x=1277,  y=554,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=17,  score=13, ORANGE: x=1175,  y=453,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=277,  y=429,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
10.084, 25, Clicked: RED, x=1282,  y=537,  DARK_RED: x=1261,  y=551,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=18,  score=14, ORANGE: x=1176,  y=437,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=292,  y=426,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
10.183, 26, Clicked: RED, x=1284,  y=534,  DARK_RED: x=1248,  y=550,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=19,  score=14, ORANGE: x=1178,  y=425,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=303,  y=424,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
10.346, 26, Clicked: RED, x=1275,  y=526,  DARK_RED: x=1228,  y=547,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=20,  score=15, ORANGE: x=1180,  y=406,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=323,  y=420,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
10.543, 27, Clicked: RED, x=1245,  y=528,  DARK_RED: x=1203,  y=544,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=21,  score=16, ORANGE: x=1182,  y=383,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=346,  y=416,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
10.693, 28, Clicked: RED, x=1179,  y=524,  DARK_RED: x=1184,  y=541,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=22,  score=17, ORANGE: x=1184,  y=365,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=363,  y=413,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
10.824, 29, Clicked: RED, x=1163,  y=519,  DARK_RED: x=1168,  y=539,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=23,  score=18, ORANGE: x=1186,  y=350,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=378,  y=410,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
10.971, 30, Clicked: RED, x=1156,  y=517,  DARK_RED: x=1149,  y=536,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=24,  score=19, ORANGE: x=1188,  y=332,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=395,  y=407,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
11.069, 31, Clicked: RED, x=1148,  y=507,  DARK_RED: x=1136,  y=535,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1189,  y=320,  dx=0.010620072711362394,  dy=-0.09711327319792347,  clicks=21,  score=12, YELLOW: x=407,  y=404,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
12.708, 31, Clicked: ORANGE, x=1202,  y=192,  RED: x=931,  y=507,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1210,  y=191,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=22,  score=12, YELLOW: x=597,  y=369,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
12.87, 31, Clicked: ORANGE, x=1215,  y=240,  RED: x=910,  y=504,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1212,  y=210,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=23,  score=12, YELLOW: x=616,  y=366,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
13.163, 31, Clicked: ORANGE, x=1206,  y=272,  RED: x=873,  y=499,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1216,  y=245,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=24,  score=12, YELLOW: x=651,  y=359,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
13.327, 31, Clicked: ORANGE, x=1206,  y=282,  RED: x=852,  y=496,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1218,  y=264,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=25,  score=12, YELLOW: x=670,  y=356,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
13.574, 31, Clicked: ORANGE, x=1214,  y=328,  RED: x=821,  y=492,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1221,  y=294,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=26,  score=12, YELLOW: x=699,  y=350,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
13.723, 31, Clicked: ORANGE, x=1219,  y=358,  RED: x=803,  y=490,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1223,  y=311,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=27,  score=12, YELLOW: x=716,  y=347,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
13.886, 31, Clicked: ORANGE, x=1219,  y=389,  RED: x=782,  y=487,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1225,  y=330,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=28,  score=12, YELLOW: x=735,  y=344,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
14.067, 31, Clicked: ORANGE, x=1225,  y=406,  RED: x=759,  y=484,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1228,  y=352,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=29,  score=12, YELLOW: x=756,  y=340,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
14.229, 31, Clicked: ORANGE, x=1225,  y=408,  RED: x=738,  y=481,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1230,  y=371,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=30,  score=12, YELLOW: x=775,  y=336,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
14.36, 31, Clicked: ORANGE, x=1227,  y=419,  RED: x=722,  y=479,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1232,  y=387,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=31,  score=13, YELLOW: x=791,  y=333,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
14.508, 32, Clicked: ORANGE, x=1230,  y=429,  RED: x=703,  y=476,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1233,  y=404,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=32,  score=14, YELLOW: x=808,  y=330,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
14.688, 33, Clicked: ORANGE, x=1235,  y=439,  RED: x=680,  y=473,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1236,  y=426,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=33,  score=15, YELLOW: x=829,  y=326,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
14.835, 34, Clicked: ORANGE, x=1246,  y=455,  RED: x=662,  y=471,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1238,  y=443,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, YELLOW: x=846,  y=323,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
15.307, 35, Clicked: YELLOW, x=938,  y=298,  RED: x=602,  y=463,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1244,  y=499,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=902,  y=313,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=1,  score=1,
15.454, 36, Clicked: YELLOW, x=943,  y=303,  RED: x=583,  y=460,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1246,  y=517,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=919,  y=309,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=2,  score=2,
15.599, 37, Clicked: YELLOW, x=969,  y=301,  RED: x=564,  y=458,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1248,  y=534,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=936,  y=306,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=3,  score=3,
15.729, 38, Clicked: YELLOW, x=983,  y=298,  RED: x=548,  y=455,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1249,  y=550,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=952,  y=303,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=4,  score=4,
15.859, 39, Clicked: YELLOW, x=996,  y=295,  RED: x=531,  y=453,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1251,  y=565,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=967,  y=301,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=5,  score=5,
16.008, 40, Clicked: YELLOW, x=1010,  y=295,  RED: x=512,  y=451,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1253,  y=583,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=984,  y=297,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=6,  score=6,
16.123, 41, Clicked: YELLOW, x=1025,  y=295,  RED: x=498,  y=449,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1254,  y=597,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=998,  y=295,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=7,  score=7,
16.353, 42, Clicked: YELLOW, x=1037,  y=296,  RED: x=469,  y=445,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1257,  y=624,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=1025,  y=290,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=8,  score=8,
16.501, 43, Clicked: YELLOW, x=1046,  y=296,  RED: x=450,  y=442,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, ORANGE: x=1259,  y=641,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=34,  score=16, DARK_YELLOW: x=1042,  y=287,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=9,  score=9,
17.181, 44, Clicked: ORANGE, x=1249,  y=709,  RED: x=365,  y=431,  dx=-0.10366726963394382,  dy=-0.01393903985942177,  clicks=25,  score=19, DARK_ORANGE: x=1268,  y=721,  dx=0.010620072711362394,  dy=0.09711327319792347,  clicks=35,  score=16, YELLOW: x=1121,  y=272,  dx=0.09590828450044392,  dy=-0.01779403166832634,  clicks=9,  score=9,
