Mon 15 Jan 2024, 11:09PM
################# Phase 1 ######################
################# INIT particles ######################
4.125, Init stimuli, 0, RED x=1842 y=296 dx=0.11571252589398219 dy=0.10886839377055373 clicks=0 score=0, ORANGE x=154 y=679 dx=0.11383536834008003 dy=0.11579290383824718 clicks=0 score=0, YELLOW x=122 y=273 dx=0.11681256747924049 dy=0.1057645701206743 clicks=0 score=0,  RED: x=1842,  y=296,  dx=0.11571252589398219,  dy=0.10886839377055373,  clicks=0,  score=0, ORANGE: x=154,  y=679,  dx=0.11383536834008003,  dy=0.11579290383824718,  clicks=0,  score=0, YELLOW: x=122,  y=273,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=0,  score=0,
6.5680000000000005, 3, Clicked: YELLOW, x=1443,  y=756,  RED: x=507,  y=379,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1236,  y=886,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=3,  score=3, YELLOW: x=1434,  y=775,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=2,  score=0,
6.733, 3, Clicked: YELLOW, x=1452,  y=767,  RED: x=528,  y=399,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1259,  y=908,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=3,  score=3, YELLOW: x=1458,  y=796,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=3,  score=0,
6.8500000000000005, 3, Clicked: YELLOW, x=1483,  y=808,  RED: x=543,  y=414,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1275,  y=915,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=3,  score=3, YELLOW: x=1474,  y=811,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=4,  score=0,
7.13, 3, Clicked: None, x=1411, y=857,  RED: x=579,  y=448,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1314,  y=876,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=3,  score=3, YELLOW: x=1514,  y=847,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=4,  score=0,
7.31, 3, Clicked: ORANGE, x=1381,  y=823,  RED: x=602,  y=470,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1339,  y=851,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=4,  score=4, YELLOW: x=1540,  y=871,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=4,  score=0,
7.456, 4, Clicked: ORANGE, x=1373,  y=812,  RED: x=621,  y=488,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1360,  y=831,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=5,  score=5, YELLOW: x=1561,  y=890,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=4,  score=0,
7.6000000000000005, 5, Clicked: ORANGE, x=1384,  y=807,  RED: x=640,  y=507,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1380,  y=811,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=6,  score=6, YELLOW: x=1582,  y=909,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=4,  score=0,
7.731000000000001, 6, Clicked: ORANGE, x=1414,  y=784,  RED: x=656,  y=523,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1399,  y=792,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=7,  score=7, YELLOW: x=1601,  y=915,  dx=0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
7.8790000000000004, 7, Clicked: ORANGE, x=1417,  y=777,  RED: x=675,  y=541,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1419,  y=772,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1622,  y=896,  dx=0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
8.384, 8, Clicked: RED, x=710,  y=631,  RED: x=740,  y=604,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=1,  score=0, ORANGE: x=1490,  y=702,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1695,  y=830,  dx=0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
8.548000000000002, 8, Clicked: RED, x=737,  y=632,  RED: x=761,  y=624,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=2,  score=0, ORANGE: x=1513,  y=679,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1718,  y=809,  dx=0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
8.776, 8, Clicked: RED, x=822,  y=690,  RED: x=791,  y=652,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=3,  score=0, ORANGE: x=1545,  y=647,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1751,  y=779,  dx=0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
8.904, 8, Clicked: RED, x=832,  y=690,  RED: x=807,  y=668,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=4,  score=0, ORANGE: x=1564,  y=629,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1750,  y=762,  dx=-0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
9.053, 8, Clicked: RED, x=833,  y=690,  RED: x=826,  y=687,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=5,  score=0, ORANGE: x=1584,  y=609,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1729,  y=743,  dx=-0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
9.168, 8, Clicked: RED, x=864,  y=710,  RED: x=841,  y=701,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=6,  score=0, ORANGE: x=1600,  y=593,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1713,  y=728,  dx=-0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
9.705000000000002, 8, Clicked: None, x=1593, y=574,  RED: x=910,  y=767,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=6,  score=0, ORANGE: x=1676,  y=518,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1635,  y=658,  dx=-0.11731589671638003,  dy=-0.10623516815519778,  clicks=4,  score=0,
9.803, 8, Clicked: YELLOW, x=1586,  y=600,  RED: x=923,  y=780,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=6,  score=0, ORANGE: x=1690,  y=504,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1621,  y=645,  dx=-0.11731589671638003,  dy=-0.10623516815519778,  clicks=5,  score=0,
9.934000000000001, 8, Clicked: YELLOW, x=1585,  y=602,  RED: x=939,  y=796,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=6,  score=0, ORANGE: x=1708,  y=486,  dx=0.11463579992227624,  dy=-0.11348020545909937,  clicks=8,  score=8, YELLOW: x=1602,  y=628,  dx=-0.11731589671638003,  dy=-0.10623516815519778,  clicks=6,  score=1,
