Mon 29 Jan 2024, 10:53PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=604 y=194 dx=0.048348754792238734 dy=0.0875351238648805 clicks=0 score=0, RED x=727 y=453 dx=0.0764614007891713 dy=0.06444884940290024 clicks=0 score=0, GREEN x=354 y=303 dx=-0.060466043570497056 dy=-0.07964833692507806 clicks=0 score=0, 
7.176, 6, Clicked: BLUE, x=809,  y=549,  DARK_BLUE: x=811,  y=568,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=19,  score=4, RED: x=1054,  y=511,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=222,  y=357,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
7.3100000000000005, 6, Clicked: BLUE, x=809,  y=549,  DARK_BLUE: x=815,  y=576,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=20,  score=4, RED: x=1060,  y=506,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=227,  y=363,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
7.746, 6, Clicked: RED, x=1113,  y=470,  BLUE: x=827,  y=598,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1080,  y=489,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=8,  score=3, GREEN: x=243,  y=384,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
7.846, 7, Clicked: RED, x=1113,  y=470,  BLUE: x=830,  y=604,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1085,  y=485,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=9,  score=3, GREEN: x=247,  y=389,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
7.98, 7, Clicked: RED, x=1113,  y=470,  BLUE: x=834,  y=611,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1091,  y=480,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=10,  score=3, GREEN: x=251,  y=395,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
8.183000000000002, 7, Clicked: RED, x=1113,  y=470,  BLUE: x=840,  y=620,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1100,  y=473,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=11,  score=3, GREEN: x=259,  y=405,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
8.353, 7, Clicked: RED, x=1123,  y=461,  BLUE: x=845,  y=611,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1108,  y=466,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=12,  score=3, GREEN: x=265,  y=413,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
8.522, 7, Clicked: RED, x=1126,  y=458,  BLUE: x=850,  y=602,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1115,  y=460,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=13,  score=3, GREEN: x=271,  y=421,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
8.658, 7, Clicked: RED, x=1129,  y=451,  BLUE: x=853,  y=595,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1121,  y=455,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=14,  score=3, GREEN: x=276,  y=427,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
8.824, 7, Clicked: RED, x=1130,  y=451,  BLUE: x=858,  y=586,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1129,  y=448,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=15,  score=4, GREEN: x=282,  y=435,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
8.956000000000001, 8, Clicked: RED, x=1130,  y=451,  BLUE: x=862,  y=579,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1135,  y=443,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=16,  score=4, GREEN: x=286,  y=441,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
9.056, 8, Clicked: RED, x=1130,  y=451,  BLUE: x=865,  y=574,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1140,  y=439,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=17,  score=4, GREEN: x=290,  y=446,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
9.189000000000002, 8, Clicked: RED, x=1130,  y=451,  BLUE: x=869,  y=567,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1146,  y=434,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=18,  score=4, GREEN: x=295,  y=453,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
9.356, 8, Clicked: RED, x=1130,  y=451,  BLUE: x=874,  y=558,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1153,  y=427,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=19,  score=4, GREEN: x=301,  y=461,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
9.556, 8, Clicked: RED, x=1138,  y=444,  BLUE: x=880,  y=548,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1163,  y=420,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=20,  score=4, GREEN: x=308,  y=470,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
9.755999999999998, 8, Clicked: RED, x=1151,  y=439,  BLUE: x=885,  y=537,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1172,  y=412,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=21,  score=4, GREEN: x=316,  y=480,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
9.889000000000001, 8, Clicked: RED, x=1151,  y=439,  BLUE: x=889,  y=530,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1178,  y=407,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=22,  score=5, GREEN: x=320,  y=486,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
10.023000000000001, 9, Clicked: RED, x=1151,  y=439,  BLUE: x=893,  y=523,  dx=0.048348754792238734,  dy=-0.0875351238648805,  clicks=20,  score=4, DARK_RED: x=1184,  y=402,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=23,  score=5, GREEN: x=325,  y=492,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
