Tue 20 Aug 2024, 05:21PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
################# INIT balls ######################
10.006, Init stimuli, 0, 
33.364, 20, Clicked: RED, x=1156,  y=158,  DARK_RED: x=1161,  y=174,  dx=0.08757847693069554,  dy=0.03164006150217064,  clicks=6,  score=6, ORANGE: x=1034,  y=240,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=4,  score=4, YELLOW: x=569,  y=239,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
33.79, 21, Clicked: RED, x=1196,  y=221,  DARK_RED: x=1207,  y=191,  dx=0.08757847693069554,  dy=0.03164006150217064,  clicks=7,  score=7, ORANGE: x=1019,  y=298,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=4,  score=4, YELLOW: x=524,  y=250,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
34.053, 22, Clicked: RED, x=1233,  y=246,  DARK_RED: x=1235,  y=201,  dx=0.08757847693069554,  dy=0.03164006150217064,  clicks=8,  score=8, ORANGE: x=1010,  y=334,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=4,  score=4, YELLOW: x=497,  y=256,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
34.251, 23, Clicked: RED, x=1233,  y=246,  DARK_RED: x=1256,  y=209,  dx=0.08757847693069554,  dy=0.03164006150217064,  clicks=9,  score=9, ORANGE: x=1003,  y=361,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=4,  score=4, YELLOW: x=476,  y=261,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
34.402, 24, Clicked: RED, x=1233,  y=246,  DARK_RED: x=1272,  y=214,  dx=0.08757847693069554,  dy=0.03164006150217064,  clicks=10,  score=10, ORANGE: x=997,  y=381,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=4,  score=4, YELLOW: x=461,  y=265,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
34.533, 25, Clicked: RED, x=1233,  y=246,  DARK_RED: x=1274,  y=219,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=11,  score=11, ORANGE: x=993,  y=399,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=4,  score=4, YELLOW: x=447,  y=269,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
34.665, 26, Clicked: RED, x=1233,  y=246,  DARK_RED: x=1260,  y=224,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, ORANGE: x=988,  y=417,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=4,  score=4, YELLOW: x=433,  y=272,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
35.349, 27, Clicked: ORANGE, x=943,  y=527,  RED: x=1187,  y=251,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, DARK_ORANGE: x=964,  y=512,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=5,  score=5, YELLOW: x=361,  y=290,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
35.497, 28, Clicked: ORANGE, x=945,  y=539,  RED: x=1171,  y=257,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, DARK_ORANGE: x=959,  y=532,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=6,  score=6, YELLOW: x=345,  y=293,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
35.742, 29, Clicked: ORANGE, x=947,  y=569,  RED: x=1145,  y=266,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, DARK_ORANGE: x=950,  y=566,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=7,  score=7, YELLOW: x=319,  y=300,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
35.887, 30, Clicked: ORANGE, x=947,  y=573,  RED: x=1129,  y=272,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, DARK_ORANGE: x=945,  y=586,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=8,  score=8, YELLOW: x=304,  y=303,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
36.002, 31, Clicked: ORANGE, x=937,  y=608,  RED: x=1117,  y=276,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, DARK_ORANGE: x=941,  y=602,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=9,  score=9, YELLOW: x=292,  y=306,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
36.181, 32, Clicked: ORANGE, x=924,  y=651,  RED: x=1097,  y=283,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, DARK_ORANGE: x=934,  y=626,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=10,  score=10, YELLOW: x=273,  y=311,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
36.824, 33, Clicked: YELLOW, x=223,  y=354,  RED: x=1029,  y=308,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, ORANGE: x=911,  y=714,  dx=-0.0290633197628707,  dy=0.11236689724929233,  clicks=10,  score=10, DARK_YELLOW: x=206,  y=328,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=1,  score=1,
37.123, 34, Clicked: YELLOW, x=223,  y=354,  RED: x=997,  y=319,  dx=-0.08757847693069554,  dy=0.03164006150217064,  clicks=12,  score=12, ORANGE: x=901,  y=726,  dx=-0.0290633197628707,  dy=-0.11236689724929233,  clicks=10,  score=10, DARK_YELLOW: x=175,  y=335,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=2,  score=2,
